X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
149599999.73417014,5145983.996952689,0.0,-3.0758244256823895e-06,29.7799999471141,0.0,443.42153555854435,0.0,-0.0,4455087999.999999,-0.9994332551281415,-0.033662568885440974,0.0
149599999.72298196,5253191.99675831,0.0,-3.1398259890520376e-06,29.77999994488962,0.0,443.42153555854435,0.0,-0.0,4455087999.999999,-0.9994089033696418,-0.034377956098201205,0.0
149599999.71156338,5360399.996555841,0.0,-3.2038227268749e-06,29.77999994261945,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9993840407790854,-0.035093290470789754,0.0
149599999.69991443,5467607.996345116,0.0,-3.267814541295476e-06,29.779999940303597,0.0,443.42153555854435,0.0,-0.0,4455087999.999999,-0.9993586674710184,-0.03580857090907888,0.0
149599999.6880351,5574815.996125972,0.0,-3.331801334496029e-06,29.77999993794207,0.0,443.4215355585444,0.0,-0.0,4455087999.999998,-0.9993327835623238,-0.0365237963193546,0.0
149599999.67592543,5682023.995898244,0.0,-3.3957830086973304e-06,29.779999935534878,0.0,443.42153555854435,0.0,-0.0,4455087999.999998,-0.9993063891722208,-0.037238965608325084,0.0
149599999.66358545,5789231.995661768,0.0,-3.459759466159405e-06,29.779999933082035,0.0,443.4215355585443,0.0,-0.0,4455087999.999997,-0.9992794844222627,-0.03795407768312883,0.0
149599999.65101516,5896439.9954163795,0.0,-3.523730609182269e-06,29.779999930583553,0.0,443.4215355585443,0.0,-0.0,4455087999.999997,-0.9992520694363353,-0.03866913145134309,0.0
149599999.6382146,6003647.995161914,0.0,-3.5876963401066756e-06,29.779999928039445,0.0,443.4215355585443,0.0,-0.0,4455087999.999997,-0.9992241443406561,-0.039384125820992086,0.0
149599999.62518376,6110855.994898208,0.0,-3.651656561314853e-06,29.77999992544972,0.0,443.42153555854435,0.0,-0.0,4455087999.999998,-0.9991957092637714,-0.04009905970055537,0.0
149599999.61192268,6218063.994625097,0.0,-3.715611175231246e-06,29.779999922814387,0.0,443.42153555854435,0.0,-0.0,4455087999.999998,-0.9991667643365562,-0.04081393199897603,0.0
149599999.59843138,6325271.9943424165,0.0,-3.7795600843232547e-06,29.779999920133463,0.0,443.4215355585444,0.0,-0.0,4455087999.999998,-0.9991373096922106,-0.041528741625669004,0.0
149599999.58470985,6432479.994050003,0.0,-3.8435031911019726e-06,29.779999917406958,0.0,443.4215355585444,0.0,-0.0,4455087999.999997,-0.9991073454662605,-0.04224348749052934,0.0
149599999.57075816,6539687.993747692,0.0,-3.907440398122926e-06,29.779999914634885,0.0,443.42153555854435,0.0,-0.0,4455087999.999998,-0.9990768717965536,-0.04295816850394047,0.0
149599999.5565763,6646895.9934353195,0.0,-3.971371607986809e-06,29.779999911817256,0.0,443.42153555854435,0.0,-0.0,4455087999.999998,-0.999045888823259,-0.04367278357678237,0.0
149599999.5421643,6754103.9931127215,0.0,-4.035296723340223e-06,29.779999908954085,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.999014396688865,-0.04438733162043994,0.0
149599999.52752218,6861311.992779735,0.0,-4.099215646876405e-06,29.779999906045386,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9989823955381776,-0.04510181154681108,0.0
149599999.51264995,6968519.992436194,0.0,-4.163128281335973e-06,29.779999903091174,0.0,443.4215355585443,0.0,-0.0,4455087999.999997,-0.9989498855183179,-0.04581622226831501,0.0
149599999.49754766,7075727.992081936,0.0,-4.227034529507648e-06,29.779999900091457,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9989168667787209,-0.04653056269790048,0.0
149599999.48221532,7182935.991716798,0.0,-4.290934294228995e-06,29.779999897046252,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9988833394711334,-0.04724483174905386,0.0
149599999.46665293,7290143.991340615,0.0,-4.354827478387153e-06,29.779999893955573,0.0,443.4215355585443,0.0,-0.0,4455087999.999997,-0.9988493037496122,-0.047959028335807515,0.0
149599999.45086056,7397351.990953224,0.0,-4.418713984919563e-06,29.779999890819433,0.0,443.42153555854424,0.0,-0.0,4455087999.999997,-0.998814759770522,-0.04867315137274782,0.0
149599999.4348382,7504559.99055446,0.0,-4.482593716814704e-06,29.77999988763785,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9987797076925331,-0.04938719977502338,0.0
149599999.4185859,7611767.9901441615,0.0,-4.546466577112816e-06,29.779999884410834,0.0,443.4215355585443,0.0,-0.0,4455087999.999997,-0.9987441476766201,-0.05010117245835326,0.0
149599999.40210366,7718975.989722163,0.0,-4.610332468906633e-06,29.7799998811384,0.0,443.42153555854424,0.0,-0.0,4455087999.999998,-0.9987080798860591,-0.05081506833903503,0.0
149599999.3853915,7826183.989288303,0.0,-4.674191295342108e-06,29.77999987782057,0.0,443.4215355585442,0.0,-0.0,4455087999.999997,-0.9986715044864265,-0.051528886333953,0.0
149599999.36844948,7933391.988842417,0.0,-4.738042959619139e-06,29.77999987445735,0.0,443.4215355585442,0.0,-0.0,4455087999.999997,-0.9986344216455957,-0.05224262536058628,0.0
149599999.3512776,8040599.988384341,0.0,-4.8018873649922974e-06,29.77999987104876,0.0,443.4215355585442,0.0,-0.0,4455087999.999997,-0.9985968315337362,-0.05295628433701692,0.0
149599999.3338759,8147807.987913913,0.0,-4.865724414771552e-06,29.779999867594814,0.0,443.4215355585442,0.0,-0.0,4455087999.999996,-0.9985587343233105,-0.05366986218193807,0.0
149599999.3162444,8255015.987430969,0.0,-4.929554012322989e-06,29.77999986409553,0.0,443.4215355585441,0.0,-0.0,4455087999.999996,-0.9985201301890726,-0.05438335781466198,0.0
149599999.29838312,8362223.986935346,0.0,-4.993376061069538e-06,29.779999860550923,0.0,443.42153555854406,0.0,-0.0,4455087999.999996,-0.9984810193080652,-0.05509677015512817,0.0
149599999.2802921,8469431.98642688,0.0,-5.057190464491692e-06,29.77999985696101,0.0,443.42153555854406,0.0,-0.0,4455087999.999996,-0.9984414018596182,-0.05581009812391149,0.0
149599999.26197135,8576639.98590541,0.0,-5.120997126128231e-06,29.779999853325805,0.0,443.42153555854406,0.0,-0.0,4455087999.999996,-0.9984012780253451,-0.05652334064223015,0.0
149599999.24342093,8683847.985370772,0.0,-5.184795949576936e-06,29.77999984964533,0.0,443.42153555854406,0.0,-0.0,4455087999.999996,-0.9983606479891425,-0.057236496631953813,0.0
149599999.22464085,8791055.984822802,0.0,-5.248586838495312e-06,29.779999845919594,0.0,443.421535558544,0.0,-0.0,4455087999.999997,-0.998319511937186,-0.05794956501561159,0.0
149599999.20563114,8898263.984261338,0.0,-5.312369696601304e-06,29.77999984214862,0.0,443.421535558544,0.0,-0.0,4455087999.999997,-0.9982778700579296,-0.058662544716400145,0.0
149599999.1863918,9005471.983686218,0.0,-5.376144427674013e-06,29.779999838332422,0.0,443.42153555854395,0.0,-0.0,4455087999.999996,-0.9982357225421012,-0.059375434658191645,0.0
149599999.1669229,9112679.983097278,0.0,-5.4399109355544125e-06,29.77999983447102,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9981930695827024,-0.0600882337655418,0.0
149599999.14722446,9219887.982494354,0.0,-5.5036691241460595e-06,29.77999983056443,0.0,443.42153555854384,0.0,-0.0,4455087999.999996,-0.9981499113750043,-0.06080094096369783,0.0
149599999.1272965,9327095.981877286,0.0,-5.567418897415813e-06,29.779999826612674,0.0,443.4215355585439,0.0,-0.0,4455087999.999997,-0.9981062481165462,-0.061513555178606474,0.0
149599999.10713905,9434303.98124591,0.0,-5.631160159394541e-06,29.779999822615764,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9980620800071325,-0.062226075336921954,0.0
149599999.08675215,9541511.980600065,0.0,-5.694892814177832e-06,29.77999981857372,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9980174072488301,-0.06293850036601396,0.0
