X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
166060931.67193615,-21275154056.33246,30138261.620698877,85.46760985132114,-110463.17468675427,156.48120099598688,6101072370.239782,6400052.816894531,-23409568840.74215,-16525281137508.871,0.603609663123459,-0.019603798562482865,-0.7970389361040687
166368615.06897894,-21672821485.225124,30701593.944629487,85.46761072263861,-110463.17469799053,156.48120118651,6101072371.595528,6396303.5458984375,-23409568845.90582,-16525281120666.9,0.06102932406349107,-0.9980438303694346,0.013562236757284239
166676298.4887969,-22070488914.119087,31264926.268958133,85.46762243856404,-110463.17468760762,156.48120121810206,6101072370.559929,6395290.935058594,-23409568488.18901,-16525280862705.357,0.8460228332970332,0.5331403896890061,0.002586585068171291
166983981.93450725,-22468156343.007835,31828258.57865626,85.46762516210248,-110463.17469498553,156.48119310691752,6101072371.480297,6576144.655761719,-23409567049.09259,-16525280803288.072,0.2041882495101085,-0.7683240442317033,-0.6066179372697754
167291665.39875,-22865823771.88863,32391590.883801594,85.4676327064292,-110463.17468330213,156.48119860831844,6101072370.293938,6451075.71875,-23409567726.34448,-16525280630336.938,0.5852442954166037,0.6894514825237136,0.4267853886067052
167599348.86901018,-23263491200.7494,32954923.178299475,85.46762857298975,-110463.17468379025,156.4811872888948,6101072370.444936,6712157.359375,-23409565966.01409,-16525280725750.31,-0.3313843771214121,-0.2554463404942697,-0.9082574314190551
167907032.31946543,-23661158629.588818,33518255.448733974,85.46762171865147,-110463.1746715099,156.48118518659297,6101072369.183367,6761071.749511719,-23409565841.151997,-16525280884501.266,-0.5689190376844948,0.8037092724636477,-0.1743058631145336
168214715.7484087,-24058826058.402817,34081587.69649271,85.46761661154166,-110463.17466961234,156.48117473742263,6101072369.064387,7010313.197265625,-23409564257.676147,-16525281006032.32,-0.4383034197059624,-0.05327239809607744,-0.8972469915665097
168522399.15351814,-24456493487.209522,34644919.939670704,85.46760849363112,-110463.1746674583,156.48118254104125,6101072368.91666,6820950.1337890625,-23409565850.498917,-16525281202582.336,-0.7203638136468505,-0.025021486702255347,0.6931449351985302
168830082.5324346,-24854160916.018692,35208252.2087034,85.46760205016888,-110463.17467095114,156.48118910848083,6101072369.389785,6659156.7705078125,-23409567183.302887,-16525281362030.275,-0.5906134622097688,-0.536627327976226,0.6026664493114626
169137765.881104,-25251828344.829117,35771584.49329681,85.46759170975281,-110463.1746681889,156.48119121007215,6101072369.16819,6606409.798339844,-23409567905.401436,-16525281620611.016,-0.9788836538534869,0.045321279132936855,0.1993308151696603
169445449.220389,-25649495773.62566,36334916.796975106,85.46759675565205,-110463.17466324967,156.48119967820878,6101072368.705818,6390720.815917969,-23409569157.06544,-16525281491358.594,0.4935154918058052,0.2664556038486179,0.8279153764276532
169753132.57167405,-26047163202.427162,36898249.11649651,85.46759839430618,-110463.17467087979,156.4812000539781,6101072369.627853,6381287.567871094,-23409569160.795807,-16525281450297.85,0.16555895382528224,-0.9854602626565125,0.03818774061443399
170060815.91241387,-26444830631.229637,37461581.430228494,85.46759094323545,-110463.17466386304,156.48119648183126,6101072368.92818,6474777.663574219,-23409568830.885498,-16525281644658.953,-0.7740714034489938,0.5130263626105879,-0.37096821107617134
